Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Engine Size Clean,Engine Size Category,Horsepower (HP) Clean,Power Category,Price (in USD),Seats Clean,Efficiency Category,Price per HP,Price per Seat,Price per Engine Size,Price per Efficiency,Brand Type,Price per Brand Type HP,Price per Brand Type Engine Size
BMW,530i,I4,"1,998 cc",248 hp,250 km/h,5.9 sec,"$57,000 ",Petrol,5,400 Nm,1998.0,Large,248,High Power,57000.0,5,Media,229.83870967741936,11400.0,28.52852852852853,28500.0,Premium,114.91935483870968,14.264264264264265
BMW,M550i XDRIVE,V8,"4,395 cc",523 hp,250 km/h,3.6 sec,"$78,000 ",Petrol,5,650 Nm,4395.0,Extra Large,523,Very High Power,78000.0,5,Media,149.1395793499044,15600.0,17.747440273037544,39000.0,Premium,74.5697896749522,8.873720136518772
BMW,118i,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$32,000 ",Petrol,5,220 Nm,1499.0,Medium,136,Medium Power,32000.0,5,Media,235.2941176470588,6400.0,21.34756504336224,16000.0,Premium,117.6470588235294,10.67378252168112
BMW,128ti,I4,"1,998 cc",261 hp,250 km/h,6.1 sec,"$42,000 ",Petrol,5,400 Nm,1998.0,Large,261,High Power,42000.0,5,Media,160.91954022988506,8400.0,21.02102102102102,21000.0,Premium,80.45977011494253,10.51051051051051
BMW,M135i XDRIVE,I4,"1,998 cc",302 hp,250 km/h,4.8 sec,"$30,000 ",Petrol,5,450 Nm,1998.0,Large,302,Very High Power,30000.0,5,Alta,99.33774834437087,6000.0,15.015015015015015,10000.0,Premium,49.66887417218543,7.5075075075075075
BMW,116D,I3,"1,496 cc",116 hp,200 km/h,10.3 sec,"$30,000 ",Diesel,5,280 Nm,1496.0,Medium,116,Medium Power,30000.0,5,Media,258.62068965517244,6000.0,20.053475935828878,15000.0,Premium,129.31034482758622,10.026737967914439
BMW,120D XDRIVE,I4,"1,995 cc",190 hp,230 km/h,6.9 sec,"$38,000 ",Diesel,5,400 Nm,1995.0,Large,190,Medium Power,38000.0,5,Media,200.0,7600.0,19.047619047619047,19000.0,Premium,100.0,9.523809523809524
BMW,116i,I3,"1,499 cc",109 hp,200 km/h,10.9 sec,"$28,000 ",Petrol,5,200 Nm,1499.0,Medium,109,Medium Power,28000.0,5,Media,256.8807339449541,5600.0,18.67911941294196,14000.0,Premium,128.44036697247705,9.33955970647098
BMW,118D,I4,"1,995 cc",150 hp,216 km/h,8.4 sec,"$34,000 ",Diesel,5,380 Nm,1995.0,Large,150,Medium Power,34000.0,5,Media,226.66666666666666,6800.0,17.04260651629073,17000.0,Premium,113.33333333333333,8.521303258145364
BMW,120i,I4,"1,998 cc",178 hp,230 km/h,7.1  sec,"$37,000 ",Petrol,5,300 Nm,1998.0,Large,178,Medium Power,37000.0,5,Media,207.86516853932585,7400.0,18.51851851851852,18500.0,Premium,103.93258426966293,9.25925925925926
BMW,125i,I4,"1,998 cc",224 hp,240 km/h,6.1 sec,"$42,000 ",Petrol,5,400 Nm,1998.0,Large,224,High Power,42000.0,5,Media,187.5,8400.0,21.02102102102102,21000.0,Premium,93.75,10.51051051051051
BMW,114D,I3,"1,496 cc",95 hp,185 km/h,12.2 sec,"$27,000 ",Diesel,5,270 Nm,1496.0,Medium,95,Low Power,27000.0,5,Media,284.2105263157895,5400.0,18.048128342245988,13500.0,Premium,142.10526315789474,9.024064171122994
BMW,114i,I4,"1,598 cc",102 hp,195 km/h,11.2 sec,"$26,000 ",Petrol,5,200 Nm,1598.0,Medium,102,Medium Power,26000.0,5,Media,254.90196078431373,5200.0,16.270337922403005,13000.0,Premium,127.45098039215686,8.135168961201503
BMW,125D,I4,"1,995 cc",224 hp,240 km/h,6.3 sec,"$44,000 ",Diesel,5,400 Nm,1995.0,Large,224,High Power,44000.0,5,Media,196.42857142857142,8800.0,22.05513784461153,22000.0,Premium,98.21428571428571,11.027568922305765
BMW,118i XDRIVE,I3,"1,499 cc",136 hp,211 km/h,8.9 sec,"$34,000 ",Petrol,5,250 Nm,1499.0,Medium,136,Medium Power,34000.0,5,Media,250.0,6800.0,22.68178785857238,17000.0,Premium,125.0,11.34089392928619
BMW,116D EFFICIENTDYNAMICS,I3,"1,496 cc",116 hp,200 km/h,10.9 sec,"$30,000 ",Diesel,5,270 Nm,1496.0,Medium,116,Medium Power,30000.0,5,Media,258.62068965517244,6000.0,20.053475935828878,15000.0,Premium,129.31034482758622,10.026737967914439
BMW,118i SPORTLINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$35,000 ",Petrol,5,250 Nm,1499.0,Medium,136,Medium Power,35000.0,5,Media,257.3529411764706,7000.0,23.34889926617745,17500.0,Premium,128.6764705882353,11.674449633088726
BMW,118i M SPORT,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$37,000 ",Petrol,5,250 Nm,1499.0,Medium,136,Medium Power,37000.0,5,Media,272.05882352941177,7400.0,24.68312208138759,18500.0,Premium,136.02941176470588,12.341561040693795
BMW,120i M SPORT,I4,"1,998 cc",178 hp,230 km/h,7.1 sec,"$39,000 ",Petrol,5,300 Nm,1998.0,Large,178,Medium Power,39000.0,5,Media,219.1011235955056,7800.0,19.51951951951952,19500.0,Premium,109.5505617977528,9.75975975975976
BMW,116i EFFICIENTDYNAMICS,I4,"1,598 cc",109 hp,195 km/h,10.9 sec,"$29,000 ",Petrol,5,200 Nm,1598.0,Medium,109,Medium Power,29000.0,5,Media,266.0550458715596,5800.0,18.147684605757195,14500.0,Premium,133.0275229357798,9.073842302878598
BMW,116D ADVANTAGE,I3,"1,496 cc",116 hp,200 km/h,10.5 sec,"$31,000 ",Diesel,5,270 Nm,1496.0,Medium,116,Medium Power,31000.0,5,Media,267.2413793103448,6200.0,20.72192513368984,15500.0,Premium,133.6206896551724,10.36096256684492
BMW,120D EFFICIENTDYNAMICS,I4,"1,995 cc",163 hp,225 km/h,7.7 sec,"$39,000 ",Diesel,5,400 Nm,1995.0,Large,163,Medium Power,39000.0,5,Media,239.2638036809816,7800.0,19.548872180451127,19500.0,Premium,119.6319018404908,9.774436090225564
BMW,118i SHADOW LINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$36,000 ",Petrol,5,250 Nm,1499.0,Medium,136,Medium Power,36000.0,5,Media,264.70588235294116,7200.0,24.01601067378252,18000.0,Premium,132.35294117647058,12.00800533689126
BMW,118D SPORT LINE,I4,"1,995 cc",150 hp,216 km/h,8.4 sec,"$36,000 ",Diesel,5,380 Nm,1995.0,Large,150,Medium Power,36000.0,5,Media,240.0,7200.0,18.045112781954888,18000.0,Premium,120.0,9.022556390977444
BMW,120i XDRIVE,I4,"1,998 cc",178 hp,230 km/h,7.2 sec,"$40,000 ",Petrol,5,300 Nm,1998.0,Large,178,Medium Power,40000.0,5,Media,224.7191011235955,8000.0,20.02002002002002,20000.0,Premium,112.35955056179775,10.01001001001001
BMW,114D SPORT LINE,I3,"1,496 cc",95 hp,185 km/h,12.2 sec,"$28,000 ",Diesel,5,270 Nm,1496.0,Medium,95,Low Power,28000.0,5,Media,294.7368421052632,5600.0,18.71657754010695,14000.0,Premium,147.3684210526316,9.358288770053475
BMW,118i URBAN LINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,"$35,000 ",Petrol,5,250 Nm,1499.0,Medium,136,Medium Power,35000.0,5,Media,257.3529411764706,7000.0,23.34889926617745,17500.0,Premium,128.6764705882353,11.674449633088726
VOLVO,XC90,I6,"1,969 cc",247 hp,200 km/h,6.5 sec,"$60,000 ",Petrol/Diesel,7,400 Nm,1969.0,Large,247,High Power,60000.0,7,Media,242.914979757085,8571.42857142857,30.472320975114272,30000.0,Premium,121.4574898785425,15.236160487557136
VOLVO,XC60,I6,"1,969 cc",247 hp,220 km/h,6.4 sec,"$55,000 ",Petrol/Diesel,5,400 Nm,1969.0,Large,247,High Power,55000.0,5,Media,222.67206477732793,11000.0,27.932960893854748,27500.0,Premium,111.33603238866397,13.966480446927374
VOLVO,S90,I6,"1,969 cc",295 hp,250 km/h,5.9 sec,"$60,000 ",Petrol/Diesel,5,400 Nm,1969.0,Large,295,High Power,60000.0,5,Media,203.38983050847457,12000.0,30.472320975114272,30000.0,Premium,101.69491525423729,15.236160487557136
HONDA,CIVIC TYPE R,I4,"1,996 cc",315 hp,272 km/h,5.7 sec,"$44,000 ",Petrol,5,400 Nm,1996.0,Large,315,Very High Power,44000.0,5,Alta,139.68253968253967,8800.0,22.044088176352705,14666.666666666666,Mainstream,139.68253968253967,22.044088176352705
HONDA,ACCORD,I4,"1,498 cc",192 hp,201 km/h,7.1 sec,"$29,400 ",Petrol,5,370 Nm,1498.0,Medium,192,Medium Power,29400.0,5,Media,153.125,5880.0,19.626168224299064,14700.0,Mainstream,153.125,19.626168224299064
HONDA,CR-V,I4,"1,498 cc",190 hp,186 km/h,8.2 sec,"$30,000 ",Petrol/Hybrid,5,400 Nm,1498.0,Medium,190,Medium Power,30000.0,5,Media,157.89473684210526,6000.0,20.026702269692922,15000.0,Mainstream,157.89473684210526,20.026702269692922
HONDA,PILOT,V6,"3,471 cc",285 hp,209 km/h,6.3 sec,"$40,000 ",Petrol,8,360 Nm,3471.0,Extra Large,285,High Power,40000.0,8,Media,140.35087719298247,5000.0,11.524056467876692,20000.0,Mainstream,140.35087719298247,11.524056467876692
HONDA,CIVIC HATCHBACK,I4,"1,498 cc",180 hp,220 km/h,6.8 sec,"$26,350 ",Petrol,5,300 Nm,1498.0,Medium,180,Medium Power,26350.0,5,Media,146.38888888888889,5270.0,17.59012016021362,13175.0,Mainstream,146.38888888888889,17.59012016021362
TOYOTA,CAMRY,V6,"3,500 cc",301 hp,220 km/h,6.0 sec,"$27,000 ",Petrol/Hybrid,5,250 Nm,3500.0,Extra Large,301,Very High Power,27000.0,5,Media,89.70099667774086,5400.0,7.714285714285714,13500.0,Mainstream,89.70099667774086,7.714285714285714
TOYOTA,COROLLA,I4,"1,798 cc",139 hp,180 km/h,9.4 sec,"$22,500 ",Petrol/Hybrid,5,200 Nm,1798.0,Large,139,Medium Power,22500.0,5,Media,161.8705035971223,4500.0,12.513904338153504,11250.0,Mainstream,161.8705035971223,12.513904338153504
TOYOTA,PRIUS,I4,"1,798 cc",121 hp,180 km/h,10.5 sec,"$26,700 ",Hybrid,5,142 Nm,1798.0,Large,121,Medium Power,26700.0,5,Media,220.6611570247934,5340.0,14.849833147942158,13350.0,Mainstream,220.6611570247934,14.849833147942158
TOYOTA,RAV4,I4,"2,494 cc",203 hp,200 km/h,8.1 sec,"$27,100 ",Petrol/Hybrid,5,400 Nm,2494.0,Large,203,High Power,27100.0,5,Media,133.4975369458128,5420.0,10.86607858861267,13550.0,Mainstream,133.4975369458128,10.86607858861267
TOYOTA,HIGHLANDER,V6,"3,456 cc",295 hp,220 km/h,7.2 sec,"$38,400 ",Petrol/Hybrid,7,370 Nm,3456.0,Extra Large,295,High Power,38400.0,7,Media,130.16949152542372,5485.714285714285,11.11111111111111,19200.0,Mainstream,130.16949152542372,11.11111111111111
TOYOTA,4RUNNER ,V6,"3,956 cc",270 hp,200 km/h,7.5 sec,"$37,400 ",Petrol,5,400 Nm,3956.0,Extra Large,270,High Power,37400.0,5,Media,138.5185185185185,7480.0,9.453993933265926,18700.0,Mainstream,138.5185185185185,9.453993933265926
TOYOTA,TACOMA,I4,"2,694 cc",159 hp,180 km/h,9.5 sec,"$26,400 ",Petrol,5,400 Nm,2694.0,Extra Large,159,Medium Power,26400.0,5,Media,166.03773584905662,5280.0,9.799554565701559,13200.0,Mainstream,166.03773584905662,9.799554565701559
TOYOTA,TUNDRA,V8,"5,663 cc",381 hp,220 km/h,6.7 sec,"$39,900 ",Petrol,5,650 Nm,5663.0,Extra Large,381,Very High Power,39900.0,5,Media,104.7244094488189,7980.0,7.045735475896168,19950.0,Mainstream,104.7244094488189,7.045735475896168
TOYOTA,AVALON,V6,"3,456 cc",301 hp,220 km/h,6.9 sec,"$41,400 ",Petrol,5,400 Nm,3456.0,Extra Large,301,Very High Power,41400.0,5,Media,137.54152823920265,8280.0,11.979166666666666,20700.0,Mainstream,137.54152823920265,11.979166666666666
TOYOTA,MIRAI,I4,"1,798 cc",151 hp,180 km/h,9.2 sec,"$52,400 ",Hydrogen,5,335 Nm,1798.0,Large,151,Medium Power,52400.0,5,Media,347.0198675496689,10480.0,29.14349276974416,26200.0,Mainstream,347.0198675496689,29.14349276974416
TOYOTA,SIENNA,V6,"2,494 cc",245 hp,190 km/h,8.0 sec,"$44,150 ",Petrol/Hybrid,7,360 Nm,2494.0,Large,245,High Power,44150.0,7,Media,180.20408163265307,6307.142857142857,17.702485966319166,22075.0,Mainstream,180.20408163265307,17.702485966319166
TOYOTA,VENZA,I4,"2,494 cc",219 hp,200 km/h,7.5 sec,"$33,400 ",Hybrid,5,400 Nm,2494.0,Large,219,High Power,33400.0,5,Media,152.51141552511416,6680.0,13.39214113873296,16700.0,Mainstream,152.51141552511416,13.39214113873296
TOYOTA,HIGHLANDER HYBRID,V6,"3,456 cc",240 hp,220 km/h,8.2 sec,"$40,400 ",Hybrid,7,350 Nm,3456.0,Extra Large,240,High Power,40400.0,7,Media,168.33333333333334,5771.428571428572,11.689814814814815,20200.0,Mainstream,168.33333333333334,11.689814814814815
TOYOTA,LAND CRUISER PRADO,V6,"3,956 cc",282 hp,200 km/h,7.2 sec,"$49,400 ",Petrol/Diesel,7,450 Nm,3956.0,Extra Large,282,High Power,49400.0,7,Media,175.17730496453902,7057.142857142857,12.487360970677452,24700.0,Mainstream,175.17730496453902,12.487360970677452
TOYOTA,TUNDRA HYBRID,V6,"3,456 cc",344 hp,220 km/h,6.2 sec,"$43,400 ",Hybrid,5,650 Nm,3456.0,Extra Large,344,Very High Power,43400.0,5,Media,126.16279069767442,8680.0,12.55787037037037,21700.0,Mainstream,126.16279069767442,12.55787037037037
TOYOTA,YARIS,I4,"1,496 cc",106 hp,180 km/h,11.2 sec,"$18,400 ",Petrol,5,150 Nm,1496.0,Medium,106,Medium Power,18400.0,5,Media,173.58490566037736,3680.0,12.29946524064171,9200.0,Mainstream,173.58490566037736,12.29946524064171
TOYOTA,C-HR,I4,"1,986 cc",144 hp,200 km/h,10.2 sec,"$24,400 ",Petrol/Hybrid,5,250 Nm,1986.0,Large,144,Medium Power,24400.0,5,Media,169.44444444444446,4880.0,12.28600201409869,12200.0,Mainstream,169.44444444444446,12.28600201409869
TOYOTA,BZ4X,ELECTRIC,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",218 hp,200 km/h,7.5 sec,"$43,400 ",Electric,5,330 Nm,64.8,Small,218,High Power,43400.0,5,Alta,199.08256880733944,8680.0,669.7530864197531,14466.666666666666,Mainstream,199.08256880733944,669.7530864197531
TOYOTA,CROWN,HYBRID,"2,494 cc",236 hp,200 km/h,7.6 sec,"$38,400 ",Hybrid,5,400 Nm,2494.0,Large,236,High Power,38400.0,5,Media,162.71186440677965,7680.0,15.396952686447474,19200.0,Mainstream,162.71186440677965,15.396952686447474
TOYOTA,MR2,I4,"1,986 cc",168 hp,200 km/h,6.9 sec,"$29,000 ",Petrol,2,400 Nm,1986.0,Large,168,Medium Power,29000.0,2,Media,172.61904761904762,14500.0,14.602215508559919,14500.0,Mainstream,172.61904761904762,14.602215508559919
TOYOTA,CELICA,I4,"1,986 cc",140 hp,200 km/h,8.5 sec,"$25,000 ",Petrol,5,250 Nm,1986.0,Large,140,Medium Power,25000.0,5,Media,178.57142857142858,5000.0,12.58811681772407,12500.0,Mainstream,178.57142857142858,12.58811681772407
HONDA,CITY,I4,"1,497 cc",119 hp,180 km/h,10.2 sec,"$15,400 ",Petrol/Hybrid,5,145 Nm,1497.0,Medium,119,Medium Power,15400.0,5,Media,129.41176470588235,3080.0,10.287241148964595,7700.0,Mainstream,129.41176470588235,10.287241148964595
HONDA,CIVIC,I4,"1,996 cc",158 hp,200 km/h,8.5 sec,"$20,400 ",Petrol,5,400 Nm,1996.0,Large,158,Medium Power,20400.0,5,Media,129.1139240506329,4080.0,10.220440881763528,10200.0,Mainstream,129.1139240506329,10.220440881763528
TOYOTA,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM","1,998 cc",220 hp,180 km/h,6.7 sec,"$31,100 ",Plug-in Hybrid,5,220 Nm,1998.0,Large,220,High Power,31100.0,5,Media,141.36363636363637,6220.0,15.565565565565565,15550.0,Mainstream,141.36363636363637,15.565565565565565
TOYOTA,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",300 hp,230 km/h,5. 0 sec,"$36,995 ",Petrol,5,370 Nm,1618.0,Large,300,Very High Power,36995.0,5,Alta,123.31666666666666,7399.0,22.864647713226205,12331.666666666666,Mainstream,123.31666666666666,22.864647713226205
TOYOTA,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL","3,346 cc",305 hp,210 km/h,6.8 sec,"$58,500 ",Petrol/Diesel,7,650 Nm,3346.0,Extra Large,305,Very High Power,58500.0,7,Media,191.80327868852459,8357.142857142857,17.48356246264196,29250.0,Mainstream,191.80327868852459,17.48356246264196
TOYOTA,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO","3,445 cc",437 hp,180 km/h,6.2 sec,"$56,000 ",Hybrid,5,750 Nm,3445.0,Extra Large,437,Very High Power,56000.0,5,Media,128.14645308924486,11200.0,16.25544267053701,28000.0,Mainstream,128.14645308924486,16.25544267053701
TOYOTA,COROLLA HATCHBACK XSE,"2.0L,INLINE-4","1,987 cc",169 hp,190 km/h,8.2 sec,"$25,390 ",Petrol,5,250 Nm,1987.0,Large,169,Medium Power,25390.0,5,Media,150.23668639053255,5078.0,12.778057372924007,12695.0,Mainstream,150.23668639053255,12.778057372924007
TOYOTA,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",1.24 kwh,152 hp,180 km/h,9.0 sec,"$49,500 ",Hydrogen,5,335 Nm,1.24,Small,152,Medium Power,49500.0,5,Alta,325.6578947368421,9900.0,39919.354838709674,16500.0,Mainstream,325.6578947368421,39919.354838709674
TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",224 hp,170 km/h,10.0 sec,"$50,000 ",Petrol/Diesel,5,500 Nm,2755.0,Extra Large,224,High Power,50000.0,5,Media,223.21428571428572,10000.0,18.148820326678766,25000.0,Mainstream,223.21428571428572,18.148820326678766
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6","HYBRID(2,494 cc),V6(3,456 cc)",296 hp,180 km/h,8.5 sec,"$60,000 ",Petrol,7,400 Nm,2494.0,Large,296,High Power,60000.0,7,Media,202.7027027027027,8571.42857142857,24.057738572574177,30000.0,Mainstream,202.7027027027027,24.057738572574177
TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",204 hp,175 km/h,10.5 sec,"$55,000 ",Diesel/Petrol,7,500 Nm,2755.0,Extra Large,204,High Power,55000.0,7,Media,269.6078431372549,7857.142857142857,19.96370235934664,27500.0,Mainstream,269.6078431372549,19.96370235934664
TOYOTA,INNOVA HYCROSS,2.0L HYBRID,"1,987 cc",184 hp,165 km/h,9.5 sec,"$40,000 ",Hybrid,7,250 Nm,1987.0,Large,184,Medium Power,40000.0,7,Media,217.3913043478261,5714.285714285715,20.130850528434827,20000.0,Mainstream,217.3913043478261,20.130850528434827
TOYOTA,COASTER,"4.0L,DIESEL","4,009 cc",134 hp,120 km/h,,"$70,000 ",Diesel,20,500 Nm,4009.0,Extra Large,134,Medium Power,70000.0,20,Baja,522.3880597014926,3500.0,17.46071339486156,70000.0,Mainstream,522.3880597014926,17.46071339486156
TOYOTA,URBAN CRUISER TAISOR,"1.5L,HYBRID","1,490 cc",114 hp,170 km/h,11 sec,"$25,000 ",Petrol,5,130 Nm,1490.0,Medium,114,Medium Power,25000.0,5,Media,219.2982456140351,5000.0,16.778523489932887,12500.0,Mainstream,219.2982456140351,16.778523489932887
TOYOTA,AYGO X,"1.0L,INLINE-3",998 cc,71 hp,160 km/h,14.8 sec,"$18,000 ",Petrol,4,93 Nm,998.0,Small,71,Low Power,18000.0,4,Media,253.5211267605634,4500.0,18.03607214428858,9000.0,Mainstream,253.5211267605634,18.03607214428858
TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL","2,755 cc",204 hp ,175 km/h,10.0 sec,"$50,000 ",Diesel,5,500 Nm,2755.0,Extra Large,204,High Power,50000.0,5,Media,245.09803921568627,10000.0,18.148820326678766,25000.0,Mainstream,245.09803921568627,18.148820326678766
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75 KWH,136 hp,130 km/h,13.5 sec,"$55,000 ",Electric,7,280 Nm,75.0,Small,136,Medium Power,55000.0,7,Alta,404.4117647058824,7857.142857142857,733.3333333333334,18333.333333333332,Mainstream,404.4117647058824,733.3333333333334
TOYOTA,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID","3,456 cc",406 hp,200 km/h,6.0 sec,"$170,000 ",Petrol,5,500 Nm,3456.0,Extra Large,406,Very High Power,170000.0,5,Media,418.7192118226601,34000.0,49.18981481481482,85000.0,Mainstream,418.7192118226601,49.18981481481482
TOYOTA,COROLLA SEDAN HYBRID,"1.8L,HYBRID","1,798 cc",134 hp,180 km/h,10.0 sec,"$24,000 ",Hybrid,5,300 Nm,1798.0,Large,134,Medium Power,24000.0,5,Media,179.1044776119403,4800.0,13.348164627363737,12000.0,Mainstream,179.1044776119403,13.348164627363737
TOYOTA,BZ3,ELECTRIC MOTOR,65 KWH,241 hp,160 km/h,7.5 sec,"$35,000 ",Electric,5,340 Nm,65.0,Small,241,High Power,35000.0,5,Alta,145.22821576763485,7000.0,538.4615384615385,11666.666666666666,Mainstream,145.22821576763485,538.4615384615385
TOYOTA,GR YARIS,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",268 hp,230 km/h,5.5 sec,"$45,000 ",Petrol,4,390 Nm,1618.0,Large,268,High Power,45000.0,4,Alta,167.91044776119404,11250.0,27.81211372064277,15000.0,Mainstream,167.91044776119404,27.81211372064277
Nissan,NV1500,4.0L V6,3954 cc,261 hp,160 km/h,9.5 sec,"$33,000 ",Petrol,12,385 Nm,3954.0,Extra Large,261,High Power,33000.0,12,Media,126.4367816091954,2750.0,8.34597875569044,16500.0,Mainstream,126.4367816091954,8.34597875569044
Nissan,Versa,1.6L Inline-4,1598 cc,122 HP,180 km/h,10.4 sec,"$16,700 ",Petrol,5,154 Nm,1598.0,Medium,122,Medium Power,16700.0,5,Media,136.88524590163934,3340.0,10.450563204005006,8350.0,Mainstream,136.88524590163934,10.450563204005006
Nissan,Micra,1.0L Turbocharged Inline-3,999 cc,100 HP,175 km/h,10.8 sec,"$15,500 ",Petrol,5,160 Nm,999.0,Small,100,Medium Power,15500.0,5,Media,155.0,3100.0,15.515515515515515,7750.0,Mainstream,155.0,15.515515515515515
Nissan,Patrol Platinum,5.6L V8,5552 cc,400 HP,210 km/h,7.3 sec,"$77,000 ",Petrol,7,560 Nm,5552.0,Extra Large,400,Very High Power,77000.0,7,Media,192.5,11000.0,13.868876080691642,38500.0,Mainstream,192.5,13.868876080691642
Nissan,Qashqai,1.3L Turbocharged Inline-4,1332 cc,156 HP,195 km/h,8.9 sec,"$26,000 ",Petrol,5,260 Nm,1332.0,Medium,156,Medium Power,26000.0,5,Media,166.66666666666666,5200.0,19.51951951951952,13000.0,Mainstream,166.66666666666666,19.51951951951952
Nissan,Murano,3.5L V6,3498 cc,260 HP,210 km/h,7.5 sec,"$39,000 ",Petrol,5,325 Nm,3498.0,Extra Large,260,High Power,39000.0,5,Media,150.0,7800.0,11.149228130360205,19500.0,Mainstream,150.0,11.149228130360205
Nissan,Maxima Platinum,3.5L V6,3498 cc,300 HP,220 km/h,6.2 sec,"$45,000 ",Petrol,5,353 Nm,3498.0,Extra Large,300,Very High Power,45000.0,5,Media,150.0,9000.0,12.864493996569468,22500.0,Mainstream,150.0,12.864493996569468
Nissan,Armada,5.6L V8,5552 cc,400 HP,210 km/h,6.5 sec,"$51,000 ",Petrol,8,560 Nm,5552.0,Extra Large,400,Very High Power,51000.0,8,Media,127.5,6375.0,9.185878962536023,25500.0,Mainstream,127.5,9.185878962536023
Nissan,Kicks,1.6L Inline-4,1598 cc,122 HP,180 km/h,10.7 sec,"$20,000 ",Petrol,5,154 Nm,1598.0,Medium,122,Medium Power,20000.0,5,Media,163.9344262295082,4000.0,12.515644555694617,10000.0,Mainstream,163.9344262295082,12.515644555694617
Nissan,X-Trail,1.5L Turbocharged Inline-3,1498 cc,201 HP,200 km/h,8.0 sec,"$29,000 ",Hybrid,5,305 Nm,1498.0,Medium,201,High Power,29000.0,5,Media,144.27860696517413,5800.0,19.359145527369826,14500.0,Mainstream,144.27860696517413,19.359145527369826
Nissan,Z (Fairlady Z),3.0L Twin-Turbo V6,2997 cc,400 HP,250 km/h,4.5 sec,"$40,000 ",Petrol,2,475 Nm,2997.0,Extra Large,400,Very High Power,40000.0,2,Media,100.0,20000.0,13.34668001334668,20000.0,Mainstream,100.0,13.34668001334668
Nissan,Almera,1.0L Turbocharged Inline-3,999 cc,100 HP,185 km/h,10.7 sec,"$14,500 ",Petrol,5,160 Nm,999.0,Small,100,Medium Power,14500.0,5,Media,145.0,2900.0,14.514514514514515,7250.0,Mainstream,145.0,14.514514514514515
Nissan,Sylphy,1.8L Inline-4,1798 cc,137 HP,190 km/h,9.6 sec,"$18,000 ",Petrol,5,174 Nm,1798.0,Large,137,Medium Power,18000.0,5,Media,131.38686131386862,3600.0,10.011123470522802,9000.0,Mainstream,131.38686131386862,10.011123470522802
Nissan,Note,1.2L Inline-3 Hybrid,1198 cc,109 HP,170 km/h,11.5 sec,"$16,000 ",Hybrid,5,150 Nm,1198.0,Medium,109,Medium Power,16000.0,5,Media,146.78899082568807,3200.0,13.35559265442404,8000.0,Mainstream,146.78899082568807,13.35559265442404
Nissan,Sunny,1.6L Inline-4,1598 cc,118 HP,180 km/h,11.0 sec,"$15,000 ",Petrol,5,156 Nm,1598.0,Medium,118,Medium Power,15000.0,5,Media,127.11864406779661,3000.0,9.386733416770964,7500.0,Mainstream,127.11864406779661,9.386733416770964
Nissan,Cube,1.8L Inline-4,1798 cc,122 HP,175 km/h,10.6 sec,"$14,500 ",Petrol,5,171 Nm,1798.0,Large,122,Medium Power,14500.0,5,Media,118.85245901639344,2900.0,8.064516129032258,7250.0,Mainstream,118.85245901639344,8.064516129032258
Nissan,Juke,1.0L Turbocharged Inline-3,999 cc,117 HP,180 km/h,10.4 sec,"$25,000 ",Petrol,5,180 Nm,999.0,Small,117,Medium Power,25000.0,5,Media,213.67521367521368,5000.0,25.025025025025027,12500.0,Mainstream,213.67521367521368,25.025025025025027
Nissan,Terrano,1.5L Inline-4 Diesel,1461 cc,110 HP,168 km/h,13.5 sec,"$15,500 ",Diesel,5,248 Nm,1461.0,Medium,110,Medium Power,15500.0,5,Media,140.9090909090909,3100.0,10.609171800136892,7750.0,Mainstream,140.9090909090909,10.609171800136892
Nissan,Magnite,1.0L Turbocharged Inline-3,999 cc,100 HP,160 km/h,13.0 sec,"$12,000 ",Petrol,5,160 Nm,999.0,Small,100,Medium Power,12000.0,5,Media,120.0,2400.0,12.012012012012011,6000.0,Mainstream,120.0,12.012012012012011
Nissan,Xterra,4.0L V6,3954 cc,261 HP,200 km/h,7.8 sec,"$35,000 ",Petrol,7,381 Nm,3954.0,Extra Large,261,High Power,35000.0,7,Media,134.09961685823754,5000.0,8.85179564997471,17500.0,Mainstream,134.09961685823754,8.85179564997471
